r,l,t
-3.2826658985675126,1000,0.7173433303833008
-7.40114723769591,1000,1.374711513519287
-11.695356793116328,1000,2.0003175735473633
-11.9671206613772,1000,2.7343437671661377
-10.765519681635256,1000,3.413569688796997
-12.894820208082377,1000,4.397487163543701
-7.3996700446968715,1000,5.048590421676636
-14.068927783850231,1000,5.743330240249634
-12.249912774950385,1000,6.379589080810547
-8.129593783460217,1000,6.9888551235198975
-15.369435047200833,1000,7.598584890365601
-10.128341649153338,1000,8.19469428062439
-3.113670061792984,1000,8.908405780792236
-4.334561314377915,1000,9.56034803390503
4.508750532943077,1000,10.180890798568726
6.533979502626704,1000,10.85009217262268
-6.401036653072519,1000,11.538519382476807
-9.86598017830783,1000,12.213726997375488
-7.3364663180415866,1000,12.870889902114868
-10.740160008110132,1000,13.517074823379517
-19.680515286809023,1000,14.163164854049683
-20.775193844050747,1000,14.801634073257446
-7.0922929549367275,1000,15.49627137184143
-3.3835535931213263,1000,16.172834873199463
-11.230073455703174,1000,16.824947595596313
-7.115413335127674,1000,17.5331711769104
-6.85486863639054,1000,18.262498140335083
-14.799976020455196,1000,18.925068378448486
-18.38915749449836,1000,19.598369598388672
-4.309027558358504,1000,20.19922399520874
-2.767911736363243,1000,20.9044246673584
-13.026463873235434,1000,21.537600994110107
-17.27639226254045,1000,22.248757123947144
-10.682375832510767,1000,22.974528789520264
-8.98198933571937,1000,23.62635588645935
-7.084860573905146,1000,24.296968936920166
-9.391350593704956,1000,24.973183393478394
-7.26078043329026,1000,25.65889883041382
-5.954080012074011,1000,26.322282075881958
-13.547473110735481,1000,26.971179246902466
-14.92781159792551,1000,27.655539989471436
-11.291203730039967,1000,28.323961973190308
-11.910155672171888,1000,29.03174114227295
-10.806528985453351,1000,29.686415672302246
1.664847827709496,1000,30.379221439361572
8.011122415826726,1000,31.05551266670227
-2.450108848849081,1000,31.70500874519348
-19.431206524243596,1000,32.36647653579712
-4.5650994419253585,1000,33.026634216308594
4.406400313040264,1000,33.71024966239929
-8.995440474899734,1000,34.40272808074951
12.067220372585385,1000,35.12913393974304
2.970304059809312,1000,35.81320643424988
-2.21833829485124,1000,36.46751594543457
6.081290314413778,1000,37.16068983078003
-10.706580526497458,1000,37.82530212402344
-6.264529017852083,1000,38.479920864105225
-15.748737815874499,1000,39.12311863899231
-10.42152997580303,1000,39.77803325653076
-10.357134153911222,1000,40.428261518478394
-15.883064459497263,1000,41.15126824378967
-12.664486751559883,1000,41.80707049369812
-7.815901141537587,1000,42.46375131607056
-15.871197585772387,1000,43.12060189247131
-10.553560856682472,1000,43.82989549636841
-7.183383768163145,1000,44.49278140068054
-10.238648654883033,1000,45.12438488006592
-17.028266214344367,1000,45.83670735359192
-8.512055339194186,1000,46.5804500579834
-11.378143788384339,1000,47.33524203300476
-6.380320165975456,1000,47.97694778442383
-13.813824899072651,1000,48.643038749694824
-2.5249938259909324,1000,49.30847454071045
-1.3288634116336788,1000,50.02088499069214
